,Country,Fatal,Injury_type,Activity_type
90,SOLOMON ISLANDS,N,Lower limbs,Swimming
91,SOUTH AFRICA,Y,Fatal,Swimming
92,JAPAN,N,Lower limbs,Surfing
93,USA,N,Severe,Swimming
94,USA,N,Lower limbs,Swimming
95,USA,N,Minor,Surfing
96,AUSTRALIA,N,no harm,Surfing
97,USA,N,Severe,Sole cases or undescribed activities
98,SPAIN,N,Lower limbs,Swimming
99,NEW ZEALAND,N,no harm,In kayak or canoe
100,USA,N,Severe,Sole cases or undescribed activities
101,BAHAMAS,N,Severe,Swimming
102,USA,N,Minor,Swimming
103,EGYPT,N,Severe,Diving
104,USA,N,Lower limbs,Fishing
105,USA,N,no harm,In kayak or canoe
106,USA,N,Lower limbs,Skiing
107,USA,N,Lower limbs,Swimming
108,USA,N,Minor,Sole cases or undescribed activities
109,BAHAMAS,N,Severe,Diving
110,BAHAMAS,N,Severe,Swimming
111,"ST HELENA, British overseas territory",N,Severe,Surfing
112,USA,N,Minor,Sole cases or undescribed activities
113,SPAIN,N,Upper limbs,Swimming
114,USA,N,Lower limbs,Sole cases or undescribed activities
115,USA,N,Severe,Swimming
116,USA,N,no harm,In kayak or canoe
117,USA,N,no harm,Sole cases or undescribed activities
118,USA,N,no harm,Surfing
119,AUSTRALIA,N,Minor,Surfing
120,USA,N,no harm,In kayak or canoe
121,USA,N,Lower limbs,Swimming
122,MEXICO,N,Upper limbs,Fishing
123,SOUTH AFRICA,N,no harm,Surfing
125,USA,N,Severe,Fishing
126,USA,N,Lower limbs,Swimming
127,USA,N,Lower limbs,Surfing
128,USA,N,Lower limbs,Swimming
129,REUNION,N,no harm,Surfing
130,SPAIN,N,Upper limbs,Swimming
131,FRENCH POLYNESIA,N,Upper limbs,Surfing
132,BAHAMAS,N,Minor,Shark fishing
133,AUSTRALIA,N,no harm,Surfing
134,AUSTRALIA,N,no harm,Surfing
135,USA,N,Lower limbs,Surfing
136,UNITED KINGDOM,N,Lower limbs,Surfing
137,USA,N,Lower limbs,Swimming
138,BAHAMAS,N,Severe,Diving
139,USA,N,Upper limbs,Shark fishing
140,USA,N,Upper limbs,Shark fishing
141,AUSTRALIA,N,Upper limbs,Fishing
142,UNITED ARAB EMIRATES,N,Severe,Swimming
143,AUSTRALIA,N,Lower limbs,Shark fishing
144,MEXICO,Y,Fatal,Diving
145,USA,N,Lower limbs,Surfing
146,USA,N,Severe,Swimming
147,SOUTH AFRICA,N,Minor,Surfing
148,USA,N,Lower limbs,Surfing
149,REUNION,Y,Fatal,Surfing
150,NEW ZEALAND,N,Lower limbs,Surfing
151,USA,N,Lower limbs,Sole cases or undescribed activities
152,"ST HELENA, British overseas territory",N,Lower limbs,Diving
153,USA,N,Lower limbs,Swimming
154,USA,N,Minor,Sole cases or undescribed activities
155,AUSTRALIA,Y,Fatal,Surfing
156,USA,N,Severe,Surfing
157,USA,N,Lower limbs,Surfing
158,USA,N,Lower limbs,Surfing
159,SOUTH AFRICA,N,Fatal,Diving
160,USA,N,Lower limbs,Surfing
161,USA,N,Lower limbs,In kayak or canoe
162,USA,N,Minor,Swimming
163,USA,N,Severe,Swimming
164,USA,N,Minor,Swimming
165,AUSTRALIA,N,no harm,Sole cases or undescribed activities
166,USA,N,Lower limbs,Swimming
167,USA,N,Minor,Surfing
168,AUSTRALIA,N,Minor,Surfing
169,USA,N,no harm,In kayak or canoe
170,PHILIPPINES,N,Severe,Swimming
171,BAHAMAS,N,Lower limbs,Sole cases or undescribed activities
172,AUSTRALIA,N,Upper limbs,Diving
173,AUSTRALIA,N,no harm,Surfing
174,REUNION,Y,Fatal,Surfing
175,AUSTRALIA,N,Severe,Swimming
176,USA,N,Upper limbs,Swimming
177,BRAZIL,N,Minor,Shark fishing
178,SOUTH AFRICA,N,no harm,In kayak or canoe
179,USA,N,no harm,Shark fishing
180,BAHAMAS,N,Upper limbs,Diving
181,BRAZIL,N,Minor,Swimming
182,USA,N,Upper limbs,Sole cases or undescribed activities
183,AUSTRALIA,N,Severe,Diving
184,AUSTRALIA,N,Upper limbs,Swimming
185,USA,N,Minor,Sole cases or undescribed activities
186,INDONESIA,N,Upper limbs,Surfing
188,USA,N,Minor,Sole cases or undescribed activities
189,AUSTRALIA,N,Minor,Sole cases or undescribed activities
190,USA,N,Upper limbs,Surfing
191,AUSTRALIA,N,Bitten,Diving
192,SOUTH AFRICA,N,Severe,Surfing
193,AUSTRALIA,N,Lower limbs,Diving
194,FRENCH POLYNESIA,N,Severe,Fishing
195,USA,N,Lower limbs,Surfing
196,AUSTRALIA,N,Upper limbs,Surfing
197,AUSTRALIA,N,Lower limbs,Surfing
198,AUSTRALIA,N,Upper limbs,Fishing
199,USA,N,Lower limbs,Swimming
200,USA,N,Lower limbs,Surfing
201,USA,N,Upper limbs,Surfing
202,AUSTRALIA,N,Lower limbs,Surfing
203,USA,N,Severe,Surfing
204,AUSTRALIA,N,Severe,Surfing
205,USA,N,Lower limbs,Diving
206,MEXICO,N,no harm,Diving
207,AUSTRALIA,N,Minor,Surfing
208,USA,N,Lower limbs,Surfing
209,USA,N,Severe,Surfing
210,USA,N,Minor,Surfing
211,AUSTRALIA,N,Lower limbs,Surfing
212,USA,N,Minor,Surfing
213,USA,N,Upper limbs,Surfing
214,USA,N,Lower limbs,Surfing
215,USA,N,no harm,Surfing
216,AUSTRALIA,N,Severe,Surfing
217,AUSTRALIA,N,no harm,Surfing
218,AUSTRALIA,N,no harm,Fishing
219,USA,N,Minor,Sole cases or undescribed activities
220,USA,N,Severe,Swimming
221,NEW CALEDONIA,Y,Fatal,Surfing
222,USA,N,Lower limbs,Surfing
223,AUSTRALIA,N,No harm,Surfing
224,USA,N,Lower limbs,Surfing
225,USA,N,Minor,Swimming
226,MEXICO,N,no harm,Diving
227,USA,N,Lower limbs,Surfing
228,USA,N,Minor,Surfing
229,REUNION,N,Severe,Surfing
230,USA,N,Minor,Sole cases or undescribed activities
231,BAHAMAS,N,Lower limbs,Diving
232,USA,N,No harm,Sole cases or undescribed activities
233,USA,N,Minor,Surfing
234,SPAIN,N,Upper limbs,Swimming
235,CHINA,N,Lower limbs,Swimming
236,AUSTRALIA,N,no harm,In kayak or canoe
237,USA,N,Upper limbs,Sole cases or undescribed activities
238,AUSTRALIA,N,Severe,Surfing
239,JAPAN,N,Lower limbs,Surfing
240,AUSTRALIA,N,no harm,Surfing
241,BAHAMAS,N,Severe,Swimming
242,AUSTRALIA,N,Lower limbs,Fishing
243,USA,N,no harm,Fishing
244,USA,N,Minor,Surfing
245,USA,N,Minor,Sole cases or undescribed activities
246,USA,N,no harm,Surfing
247,USA,N,Lower limbs,Swimming
248,BAHAMAS,N,Severe,Diving
249,SPAIN,N,Lower limbs,Sole cases or undescribed activities
250,USA,N,no harm,Fishing
251,USA,N,Severe,Fishing
252,USA,N,no harm,Shark fishing
253,USA,N,Severe,Swimming
254,AUSTRALIA,N,Severe,Fishing
255,USA,N,Minor,Sole cases or undescribed activities
256,USA,N,Severe,Surfing
257,COLUMBIA,N,Severe,Diving
258,SOUTH AFRICA,N,Lower limbs,Swimming
259,USA,N,Lower limbs,Swimming
260,USA,N,Lower limbs,Sole cases or undescribed activities
261,USA,N,Upper limbs,Surfing
262,AUSTRALIA,N,no harm,Swimming
263,USA,N,Lower limbs,Swimming
264,USA,N,Upper limbs,Sole cases or undescribed activities
265,USA,N,no harm,Surfing
266,USA,N,Lower limbs,Swimming
267,AUSTRALIA,Y,Fatal,Diving
268,EGYPT,N,Severe,Swimming
269,AUSTRALIA,N,no harm,Swimming
270,NEW CALEDONIA,N,Minor,Surfing
271,AUSTRALIA,Y,Fatal,Surfing
272,USA,N,Upper limbs,Swimming
273,USA,N,Lower limbs,Swimming
274,USA,N,Lower limbs,Swimming
275,USA,N,Lower limbs,Swimming
276,USA,N,Severe,Swimming
277,USA,N,Lower limbs,Swimming
278,USA,N,Upper limbs,Shark fishing
279,USA,N,Minor,Swimming
280,NEW ZEALAND,N,Lower limbs,Fishing
281,INDONESIA,N,Bitten,Surfing
282,USA,N,Minor,Surfing
283,SOUTH AFRICA,N,no harm,Surfing
284,AUSTRALIA,N,Minor,Swimming
286,FRENCH POLYNESIA,N,Severe,Swimming
287,USA,N,Upper limbs,Swimming
288,NEW CALEDONIA,Y,Fatal,Sole cases or undescribed activities
290,USA,N,Upper limbs,Fishing
291,USA,N,no harm,Sole cases or undescribed activities
292,USA,N,Minor,Diving
293,AUSTRALIA,N,Severe,Surfing
294,USA,N,Minor,Sole cases or undescribed activities
295,AUSTRALIA,N,no harm,Surfing
296,BAHAMAS,N,Minor,Sole cases or undescribed activities
297,USA,N,no harm,Surfing
298,USA,N,Lower limbs,Surfing
299,Fiji,Y,Fatal,Diving
300,USA,N,Lower limbs,Sole cases or undescribed activities
301,AUSTRALIA,N,Lower limbs,Fishing
302,BRAZIL,N,Minor,Swimming
303,NEW CALEDONIA,N,Lower limbs,Surfing
304,NEW CALEDONIA,N,Upper limbs,Swimming
305,DOMINICAN REPUBLIC,N,Lower limbs,Sole cases or undescribed activities
306,CAYMAN ISLANDS,N,Minor,Sole cases or undescribed activities
307,AUSTRALIA,N,no harm,Surfing
308,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
309,AUSTRALIA,N,no harm,Surfing
310,BRAZIL,N,Lacerations,Swimming
311,SOUTH AFRICA,N,no harm,In kayak or canoe
312,USA,N,Upper limbs,Surfing
313,USA,N,no harm,Surfing
314,USA,N,Severe,Swimming
315,UNITED ARAB EMIRATES,N,no harm,Fishing
316,USA,N,no harm,In kayak or canoe
317,AUSTRALIA,N,Lower limbs,Surfing
318,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
319,AUSTRALIA,N,Lower limbs,Swimming
320,SOUTH AFRICA,N,no harm,In kayak or canoe
321,SPAIN,N,Upper limbs,Swimming
322,USA,N,no harm,In kayak or canoe
323,AUSTRALIA,N,no harm,Surfing
324,BRAZIL,N,Upper limbs,Diving
325,ARUBA,Y,Fatal,Sole cases or undescribed activities
326,AUSTRALIA,N,no harm,Fishing
327,BAHAMAS,N,Severe,Fishing
328,SOUTH AFRICA,N,Upper limbs,Swimming
329,ECUADOR,N,Lower limbs,Diving
330,USA,N,Minor,Surfing
331,USA,N,Severe,Swimming
332,USA,N,Upper limbs,Surfing
333,AUSTRALIA,N,Lower limbs,Surfing
334,USA,N,Severe,Surfing
335,USA,N,Lower limbs,Swimming
336,USA,N,Lower limbs,Sole cases or undescribed activities
337,MOZAMBIQUE,N,Severe,Fishing
338,AUSTRALIA,N,Minor,Swimming
339,USA,N,Lower limbs,Surfing
340,SOUTH AFRICA,N,Severe,Surfing
341,USA,N,Upper limbs,Surfing
342,USA,N,Lower limbs,Surfing
343,MOZAMBIQUE,Y,Fatal,Fishing
344,USA,N,Lower limbs,Surfing
345,USA,N,Severe,Swimming
346,USA,N,no harm,In kayak or canoe
347,USA,N,Upper limbs,Surfing
348,USA,N,Severe,Surfing
349,MOZAMBIQUE,N,Severe,Fishing
350,AUSTRALIA,N,Severe,Surfing
351,USA,N,Lower limbs,Surfing
352,USA,N,Lower limbs,Sole cases or undescribed activities
353,USA,N,Severe,Surfing
354,USA,N,Minor,Surfing
355,AUSTRALIA,N,Lower limbs,Diving
356,USA,N,no harm,In kayak or canoe
357,USA,N,Minor,Surfing
358,USA,N,Severe,Swimming
359,USA,N,Lower limbs,Sole cases or undescribed activities
360,USA,N,Upper limbs,Fishing
361,USA,N,no harm,In kayak or canoe
362,USA,N,Lower limbs,Swimming
363,USA,N,Lower limbs,Surfing
364,AUSTRALIA,N,Minor,Surfing
365,USA,N,no harm,In kayak or canoe
366,USA,N,Lower limbs,In kayak or canoe
367,AUSTRALIA,N,Lower limbs,Surfing
368,USA,N,Lower limbs,Sole cases or undescribed activities
369,THAILAND,N,Lower limbs,Sole cases or undescribed activities
370,FIJI,N,Lower limbs,Swimming
371,USA,N,no harm,Surfing
372,USA,N,no harm,Surfing
373,USA,N,Lower limbs,Sole cases or undescribed activities
374,AUSTRALIA,N,Severe,Surfing
375,USA,N,Lower limbs,Surfing
376,USA,N,Lower limbs,Sole cases or undescribed activities
377,USA,N,no harm,In kayak or canoe
378,SPAIN,N,Minor,Swimming
379,USA,N,Upper limbs,Swimming
380,AUSTRALIA,N,Severe,Surfing
381,COSTA RICA,N,Minor,Surfing
382,AUSTRALIA,N,Upper limbs,Surfing
383,USA,N,Minor,Surfing
384,USA,N,Lower limbs,Swimming
385,AUSTRALIA,Y,Fatal,Diving
386,USA,N,no harm,In kayak or canoe
387,AUSTRALIA,N,Upper limbs,Surfing
388,REUNION,N,Upper limbs,Surfing
389,SOUTH AFRICA,N,no harm,Surfing
390,USA,N,no harm,Surfing
391,USA,N,Lacerations,Swimming
392,FRENCH POLYNESIA,N,Severe,Swimming
393,BAHAMAS,N,Lower limbs,Swimming
394,USA,N,Upper limbs,Sole cases or undescribed activities
395,AUSTRALIA,N,no harm,Surfing
396,AUSTRALIA,N,Lower limbs,Surfing
397,USA,N,Severe,Swimming
398,AUSTRALIA,N,Upper limbs,Surfing
399,USA,N,Lower limbs,Sole cases or undescribed activities
400,USA,N,Lower limbs,Swimming
401,SOUTH AFRICA,N,Severe,Surfing
402,USA,N,Minor,Swimming
403,SOUTH AFRICA,N,Severe,Surfing
404,USA,N,Lower limbs,Sole cases or undescribed activities
405,AUSTRALIA,N,Minor,Swimming
406,USA,N,Lacerations,Surfing
407,USA,N,Minor,Swimming
408,AUSTRALIA,N,Severe,Surfing
409,USA,N,Minor,Sole cases or undescribed activities
410,PUERTO RICO,N,Upper limbs,Swimming
411,USA,N,Minor,Swimming
412,USA,N,Upper limbs,Sole cases or undescribed activities
413,USA,N,Severe,Sole cases or undescribed activities
414,USA,N,Severe,Sole cases or undescribed activities
415,USA,N,Minor,Surfing
416,USA,N,Lower limbs,Sole cases or undescribed activities
417,USA,N,Minor,Shark fishing
418,REUNION,N,Upper limbs,Surfing
419,USA,N,Lower limbs,Sole cases or undescribed activities
420,USA,N,Minor,Sole cases or undescribed activities
421,FRENCH POLYNESIA,N,Upper limbs,Swimming
422,USA,N,Lower limbs,Swimming
423,USA,N,Lower limbs,Surfing
424,USA,N,Lower limbs,Sole cases or undescribed activities
425,NEW CALEDONIA,Y,Fatal,Diving
426,USA,N,Lower limbs,Swimming
427,AUSTRALIA,N,Upper limbs,Surfing
428,SOUTH AFRICA,N,Lower limbs,Diving
429,USA,Y,Fatal,Diving
430,USA,N,Lower limbs,Sole cases or undescribed activities
431,AUSTRALIA,N,Severe,Surfing
432,AUSTRALIA,N,no harm,Surfing
433,USA,N,Upper limbs,Shark fishing
434,REUNION,Y,Fatal,Surfing
435,AUSTRALIA,N,Severe,In kayak or canoe
436,USA,N,Severe,Swimming
437,ITALY,N,Fatal,Diving
438,BRAZIL,N,Lower limbs,Surfing
439,SOUTH AFRICA,N,no harm,In kayak or canoe
440,EGYPT,Y,Fatal,Swimming
441,USA,N,Lower limbs,Diving
442,FRENCH POLYNESIA,N,Upper limbs,Shark fishing
444,MEXICO,N,Upper limbs,Fishing
445,FRENCH POLYNESIA,N,Lower limbs,Sole cases or undescribed activities
446,ATLANTIC OCEAN,N,no harm,In kayak or canoe
447,REUNION,Y,Fatal,Swimming
448,AUSTRALIA,Y,Fatal,Surfing
449,AUSTRALIA,N,Severe,Surfing
450,AUSTRALIA,N,Minor,Surfing
451,AUSTRALIA,N,no harm,In kayak or canoe
452,USA,N,Lower limbs,Shark fishing
453,AUSTRALIA,N,no harm,Surfing
454,SOUTH AFRICA,N,Lower limbs,Swimming
455,USA,N,no harm,Fishing
457,AUSTRALIA,N,no harm,Fishing
458,AUSTRALIA,N,Upper limbs,Sole cases or undescribed activities
460,BAHAMAS,N,Severe,Diving
461,SOUTH AFRICA,N,Lower limbs,Surfing
462,USA,N,Lower limbs,Sole cases or undescribed activities
463,AUSTRALIA,N,Lower limbs,Surfing
464,AUSTRALIA,Y,Fatal,Swimming
465,GREECE,N,Bitten,Sole cases or undescribed activities
466,SOUTH AFRICA,N,Minor,Swimming
467,USA,N,Severe,Surfing
468,AUSTRALIA,N,Lower limbs,Fishing
469,JAPAN,N,no harm,Diving
470,AUSTRALIA,Y,Fatal,Swimming
471,SPAIN,N,Upper limbs,Shark fishing
472,AUSTRALIA,N,Minor,Surfing
473,MAURITIUS,Y,Fatal,Fishing
474,AUSTRALIA,N,no harm,Fishing
475,USA,N,no harm,Sole cases or undescribed activities
476,USA,N,Upper limbs,Surfing
477,USA,N,Lower limbs,Diving
478,AUSTRALIA,N,Minor,Surfing
479,USA,N,Minor,Surfing
480,USA,N,Minor,Surfing
481,AUSTRALIA,N,Lower limbs,Surfing
482,USA,N,no harm,In kayak or canoe
483,USA,N,no harm,In kayak or canoe
484,USA,N,no harm,In kayak or canoe
485,USA,N,no harm,Surfing
486,AUSTRALIA,N,Lower limbs,Surfing
487,USA,N,Lower limbs,Sole cases or undescribed activities
488,USA,N,Upper limbs,Surfing
489,AUSTRALIA,N,no harm,In kayak or canoe
490,USA,N,Lower limbs,Surfing
491,USA,N,Lower limbs,Fishing
492,USA,N,Lower limbs,Surfing
493,USA,N,no harm,In kayak or canoe
494,USA,N,no harm,In kayak or canoe
495,USA,N,Lower limbs,Surfing
496,AUSTRALIA,N,Severe,Surfing
497,USA,N,Minor,Surfing
498,FRENCH POLYNESIA,N,Minor,Fishing
500,AUSTRALIA,Y,Fatal,Swimming
501,USA,N,Lower limbs,Fishing
502,USA,N,no harm,In kayak or canoe
503,USA,N,Lower limbs,Fishing
504,SPAIN,N,Upper limbs,Sole cases or undescribed activities
505,USA,N,Lower limbs,Surfing
506,USA,N,Lower limbs,Surfing
508,USA,N,Lower limbs,Fishing
509,SPAIN,N,Minor,Swimming
510,USA,N,Upper limbs,Surfing
511,USA,N,Minor,Sole cases or undescribed activities
512,USA,N,Upper limbs,Shark fishing
513,USA,N,Lower limbs,Sole cases or undescribed activities
514,AUSTRALIA,N,Severe,Swimming
515,USA,N,Lower limbs,Sole cases or undescribed activities
516,USA,N,Lower limbs,Sole cases or undescribed activities
517,BAHAMAS,N,Lower limbs,Swimming
518,USA,N,Lower limbs,Swimming
519,USA,N,Minor,Swimming
520,USA,N,Lower limbs,Surfing
521,USA,N,Lower limbs,Swimming
522,USA,N,Lower limbs,Surfing
523,USA,N,Lower limbs,Surfing
524,SOUTH AFRICA,N,Lower limbs,Surfing
526,USA,N,Lower limbs,Swimming
527,REUNION,N,Lower limbs,Surfing
528,USA,N,Lower limbs,Sole cases or undescribed activities
529,SPAIN,N,Minor,Sole cases or undescribed activities
530,USA,N,Lower limbs,Swimming
531,USA,N,Lower limbs,Swimming
533,USA,N,Upper limbs,Surfing
534,USA,N,Lower limbs,Surfing
535,USA,N,Severe,Swimming
536,USA,N,no harm,Surfing
537,USA,N,Upper limbs,Surfing
539,BAHAMAS,N,no harm,Swimming
540,AUSTRALIA,N,no harm,Surfing
541,AUSTRALIA,N,Lower limbs,Surfing
542,AUSTRALIA,N,Upper limbs,Shark fishing
543,BRAZIL,N,Severe,Fishing
544,USA,N,Upper limbs,Sole cases or undescribed activities
545,AUSTRALIA,N,Minor,Surfing
546,JAPAN,N,Upper limbs,Surfing
547,USA,N,Upper limbs,Sole cases or undescribed activities
548,USA,N,Lower limbs,Swimming
549,AUSTRALIA,N,Lower limbs,Surfing
550,USA,N,Upper limbs,Shark fishing
551,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
552,FRANCE,N,Severe,Diving
553,AUSTRALIA,N,Minor,Shark fishing
554,USA,N,Lower limbs,Surfing
555,AUSTRALIA,N,Severe,Surfing
556,USA,N,Lower limbs,Sole cases or undescribed activities
557,USA,N,Lower limbs,Surfing
558,USA,N,no harm,Diving
559,USA,N,Lower limbs,Swimming
560,SOUTH AFRICA,N,Upper limbs,Diving
561,USA,N,Minor,Surfing
562,AUSTRALIA,N,Minor,Swimming
563,USA,N,Lower limbs,Swimming
564,USA,N,Minor,Sole cases or undescribed activities
565,SOUTH AFRICA,N,no harm,Shark fishing
566,SOUTH AFRICA,N,Lower limbs,Fishing
567,USA,N,Minor,Surfing
568,USA,N,Lower limbs,Surfing
569,AUSTRALIA,Y,Fatal,Swimming
571,SOUTH AFRICA,Y,Fatal,Swimming
572,USA,N,Upper limbs,Surfing
573,USA,N,Minor,Surfing
574,NEW CALEDONIA,N,Lower limbs,Surfing
575,AUSTRALIA,N,Severe,Surfing
576,AUSTRALIA,N,Upper limbs,Sole cases or undescribed activities
577,AUSTRALIA,N,Minor,Swimming
578,CAYMAN ISLANDS,N,no harm,Diving
579,USA,N,Minor,Surfing
580,FRENCH POLYNESIA,N,Lower limbs,Surfing
581,PAPUA NEW GUINEA,N,no harm,Sailing
582,AUSTRALIA,Y,Fatal,Swimming
584,NEW ZEALAND,N,Lower limbs,Surfing
585,AUSTRALIA,N,Minor,Fishing
586,NEW ZEALAND,N,Minor,Swimming
587,JAPAN,N,Lower limbs,Sole cases or undescribed activities
588,USA,N,Minor,Diving
589,NEW ZEALAND,N,no harm,Sole cases or undescribed activities
590,NEW CALEDONIA,N,Lower limbs,Diving
591,SOUTH AFRICA,N,Lower limbs,Surfing
592,KIRIBATI,N,Severe,Fishing
593,USA,N,Lower limbs,Surfing
594,USA,N,Lower limbs,Surfing
595,AUSTRALIA,N,Lower limbs,Surfing
596,USA,Y,Fatal,In kayak or canoe
597,AUSTRALIA,Y,Fatal,Surfing
598,USA,N,Lower limbs,Diving
599,AUSTRALIA,Y,Fatal,Surfing
600,USA,N,no harm,Surfing
601,AUSTRALIA,N,no harm,Surfing
602,BAHAMAS,N,Lower limbs,Shark fishing
603,USA,N,no harm,Surfing
604,USA,N,Lower limbs,Surfing
605,USA,N,Severe,Sole cases or undescribed activities
606,AUSTRALIA,N,Upper limbs,Diving
607,REUNION,N,Severe,Surfing
608,AUSTRALIA,N,no harm,Diving
609,AUSTRALIA,N,Lower limbs,Surfing
610,USA,N,Severe,Diving
611,USA,N,no harm,Surfing
612,USA,N,Lower limbs,Sole cases or undescribed activities
613,SOUTH AFRICA,Y,Fatal,Swimming
614,AUSTRALIA,N,Severe,Diving
615,USA,N,Lower limbs,Surfing
616,USA,N,Upper limbs,Sole cases or undescribed activities
617,USA,N,Upper limbs,Surfing
618,ISRAEL,N,Upper limbs,Diving
619,USA,N,Lower limbs,Sole cases or undescribed activities
620,USA,N,Lower limbs,Swimming
621,USA,N,Lacerations,Surfing
622,USA,N,Lower limbs,Swimming
623,USA,N,Minor,Surfing
625,USA,N,Lower limbs,Surfing
626,USA,N,Minor,Sole cases or undescribed activities
627,USA,N,Upper limbs,Swimming
628,USA,N,Upper limbs,Sole cases or undescribed activities
629,BAHAMAS,N,Severe,Sole cases or undescribed activities
630,USA,N,Lower limbs,Sole cases or undescribed activities
631,BAHAMAS,N,Lower limbs,Swimming
632,USA,N,Lower limbs,Swimming
633,USA,N,Severe,Swimming
634,FRANCE,N,Upper limbs,Shark fishing
635,USA,N,Minor,Surfing
636,AUSTRALIA,N,Upper limbs,Shark fishing
637,USA,N,Lower limbs,Surfing
638,USA,N,no harm,Surfing
639,USA,Y,Fatal,Diving
640,USA,N,no harm,Sole cases or undescribed activities
641,USA,N,no harm,Surfing
643,USA,N,Minor,Fishing
644,USA,N,Severe,Diving
645,USA,N,Lower limbs,Swimming
646,BAHAMAS,N,Lower limbs,Swimming
647,MEXICO,N,Severe,Sole cases or undescribed activities
648,USA,N,Lower limbs,Surfing
649,BAHAMAS,N,Upper limbs,Fishing
650,BAHAMAS,N,Bitten,Diving
651,BRAZIL,Y,Fatal,Swimming
652,USA,N,Lower limbs,Surfing
653,USA,N,Lower limbs,Swimming
654,REUNION,Y,Fatal,Swimming
655,DIEGO GARCIA,Y,Fatal,Swimming
